
(vret_env) C:\Users\Shayan\Desktop\NICS\acrophobia\shayan_code\vret_pipeline>python vret_server_v2.py
Starting VRET biofeedback server v2 (procedural)...
[LSL] searching for OpenSignals stream...
2026-06-01 22:13:06.438 (   2.596s) [         8352EE6]      netinterfaces.cpp:36    INFO| netif '{3BDC3AB1-4EF3-4CC8-8BAE-BB2AC2CAEB34}' (status: 2, multicast: 1
2026-06-01 22:13:06.438 (   2.596s) [         8352EE6]      netinterfaces.cpp:36    INFO| netif '{54921B9A-D779-4B2B-8820-1CE578EBA38A}' (status: 2, multicast: 1
2026-06-01 22:13:06.438 (   2.596s) [         8352EE6]      netinterfaces.cpp:36    INFO| netif '{ED154277-1459-47EB-AF78-151677F44DD4}' (status: 2, multicast: 1
2026-06-01 22:13:06.438 (   2.596s) [         8352EE6]      netinterfaces.cpp:36    INFO| netif '{DE25D8FA-C1F1-4A02-BF65-B86B6B10F338}' (status: 1, multicast: 1
2026-06-01 22:13:06.438 (   2.596s) [         8352EE6]      netinterfaces.cpp:58    INFO|       IPv6 ifindex 17
2026-06-01 22:13:06.438 (   2.596s) [         8352EE6]      netinterfaces.cpp:36    INFO| netif '{327421B6-9D15-4A91-BCBC-85D1C378F4EB}' (status: 2, multicast: 1
2026-06-01 22:13:06.438 (   2.597s) [         8352EE6]      netinterfaces.cpp:36    INFO| netif '{6575BA6E-BB71-11F0-BCDF-806E6F6E6963}' (status: 1, multicast: 1
2026-06-01 22:13:06.439 (   2.597s) [         8352EE6]      netinterfaces.cpp:58    INFO|       IPv6 ifindex 1
2026-06-01 22:13:06.439 (   2.597s) [         8352EE6]         api_config.cpp:126   INFO| Loaded default config
name=OpenSignals | type=00:07:80:0F:31:9C | ch=3 | rate=1000.0 | source=OpenSignals
2026-06-01 22:13:08.459 (   4.617s) [         8352EE6]             common.cpp:78    INFO| git:64988c6a14b8dc3b3f270ece58eab4f480bfab43/branch:refs/tags/v1.17.7/build:Release/compiler:MSVC-19.29.30159.0/link:SHARED
[LSL] mapped by label -> EDA=ch1, ECG=ch2 (labels: ['DIGITAL', 'EDA', 'ECG']).

press enter to start the session (begins baseline from recording sample 0)
[CTRL] sent 'start' to fake stream at 127.0.0.1:5006
got 0 samples
got 13 samples| raw_EDA=3.8508 μS | HR=— BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0740 μS | HR=88.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7596 μS | HR=88.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.1468 μS | HR=88.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0108 μS | HR=88.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.6174 μS | HR=88.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8085 μS | HR=88.8 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.0407 μS | HR=88.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.5758 μS | HR=88.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7287 μS | HR=88.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0004 μS | HR=88.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0573 μS | HR=88.7 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.7613 μS | HR=88.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0039 μS | HR=88.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0538 μS | HR=88.7 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.8050 μS | HR=88.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7346 μS | HR=88.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.1329 μS | HR=88.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.9038 μS | HR=88.7 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.6843 μS | HR=88.7 BPM | RMSSD=— ms
got 14 samples| raw_EDA=2.9831 μS | HR=88.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.1759 μS | HR=88.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.6791 μS | HR=88.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0053 μS | HR=88.7 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.3514 μS | HR=88.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7776 μS | HR=88.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.1367 μS | HR=88.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.6666 μS | HR=88.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8320 μS | HR=88.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.2238 μS | HR=88.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0712 μS | HR=88.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8438 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8811 μS | HR=89.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.1593 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8813 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7176 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8603 μS | HR=89.2 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.9895 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.2329 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.3325 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.6845 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.2503 μS | HR=89.6 BPM | RMSSD=— ms
got 12 samples| raw_EDA=2.2458 μS | HR=89.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.2245 μS | HR=89.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.1441 μS | HR=89.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3992 μS | HR=89.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9984 μS | HR=89.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8913 μS | HR=89.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.1128 μS | HR=89.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9949 μS | HR=89.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.6822 μS | HR=89.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8331 μS | HR=89.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.1045 μS | HR=89.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.6777 μS | HR=89.8 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.8244 μS | HR=89.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9658 μS | HR=89.8 BPM | RMSSD=— ms
got 12 samples| raw_EDA=2.9574 μS | HR=89.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8667 μS | HR=89.8 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.2460 μS | HR=89.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9533 μS | HR=89.8 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.5723 μS | HR=89.8 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.9784 μS | HR=89.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8825 μS | HR=89.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9997 μS | HR=89.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8438 μS | HR=89.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.9069 μS | HR=89.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3167 μS | HR=89.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4794 μS | HR=89.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8834 μS | HR=89.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3729 μS | HR=89.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9436 μS | HR=89.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.1228 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7235 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8898 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.1326 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.9895 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7887 μS | HR=89.5 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.0587 μS | HR=89.5 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.6944 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8785 μS | HR=89.5 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.5324 μS | HR=89.5 BPM | RMSSD=— ms
got 12 samples| raw_EDA=2.9040 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.9382 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8827 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8541 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0088 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.9534 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.2082 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8884 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8345 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.0255 μS | HR=89.1 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.8854 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.1828 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.0921 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8369 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.7698 μS | HR=89.1 BPM | RMSSD=— ms
got 12 samples| raw_EDA=2.9418 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8941 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.7466 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9925 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.1119 μS | HR=89.1 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.8771 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.5914 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.9104 μS | HR=89.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=2.9006 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8333 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8889 μS | HR=89.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=2.7334 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9061 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.1428 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8688 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.7070 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.1150 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8501 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.7573 μS | HR=89.4 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.0344 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.2253 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.7833 μS | HR=89.4 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.3087 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.0734 μS | HR=89.4 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.0525 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8257 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.9683 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.5812 μS | HR=89.5 BPM | RMSSD=— ms
got 12 samples| raw_EDA=2.8884 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.1754 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8799 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.1575 μS | HR=89.5 BPM | RMSSD=— ms
got 12 samples| raw_EDA=4.0824 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.1960 μS | HR=89.5 BPM | RMSSD=— ms
got 14 samples| raw_EDA=2.8534 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.0384 μS | HR=90.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.6876 μS | HR=90.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9481 μS | HR=90.0 BPM | RMSSD=— ms
got 14 samples| raw_EDA=4.0828 μS | HR=90.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.7218 μS | HR=90.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.7303 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.0855 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.2300 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.7299 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.5768 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.1164 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.7670 μS | HR=89.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=4.2482 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.9402 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.5309 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8354 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8577 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.6079 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9463 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.1539 μS | HR=89.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8965 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.0991 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.0394 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9196 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8437 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.9347 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.6651 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9560 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.1865 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.9038 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.6599 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.0027 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.5853 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9103 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.2177 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.9680 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8958 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.0214 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4457 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.7161 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3940 μS | HR=89.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=2.7043 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3642 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.0290 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3614 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.6970 μS | HR=89.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=4.1206 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.7064 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.9449 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.2163 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.8972 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.0266 μS | HR=89.4 BPM | RMSSD=— ms
got 12 samples| raw_EDA=4.0422 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8513 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.7636 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.0531 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8756 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.7057 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.5581 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.1355 μS | HR=89.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3458 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.1254 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.9024 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.7362 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=2.8978 μS | HR=89.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=4.0259 μS | HR=89.5 BPM | RMSSD=— ms
